time,modified
3.965,0.618542
4.636,0.350028
4.789,-1.393088
4.824,1.059673
4.846,-3.559054
4.864,2.589247
4.886,0.407567
4.908,-0.677461
4.927,0.709645
4.946,0.057539
4.965,-0.801503
4.983,-0.1145
5.005,1.759729
5.024,1.874806
5.043,0.666491
5.065,1.102827
5.087,-0.233772
5.106,-0.262397
5.127,0.393182
5.143,-0.28148
5.165,0.316463
5.184,-0.706086
5.203,-0.658377
5.222,-1.679339
5.244,2.095372
5.259,2.061808
5.278,1.620677
5.297,0.517849
5.315,2.474169
5.337,-1.750902
5.359,1.198725
5.378,-1.898798
5.397,0.97816
5.419,2.872146
5.438,-1.817694
5.456,-1.970361
5.478,1.93714
5.5,-3.554283
5.522,1.093238
5.541,-0.887378
5.557,3.399585
5.576,0.484285
5.594,1.893986
5.613,-2.743239
5.632,1.376137
5.654,0.095898
5.673,1.524779
5.691,-1.832006
5.71,-1.450338
5.732,0.935006
5.754,1.198725
5.773,1.572728
5.792,-40.962521
5.81,-39.311806
5.83,-35.132542
5.845,-9.279304
5.864,-3.821451
5.883,0.848697
5.901,-2.867281
5.917,-0.419835
5.939,-114.629219
5.955,-233.962494
5.973,-393.022644
5.989,-513.395935
6.008,-697.054626
6.027,-850.551941
6.045,-866.725098
6.064,-737.244263
6.083,-536.191101
6.102,-320.338745
6.121,-160.143127
6.139,-141.689484
6.158,-293.469299
6.177,-595.87439
6.199,-959.227112
6.221,-1136.220947
6.237,-1162.751587
6.255,-1084.729126
6.274,-881.958435
6.29,-651.912842
6.309,-412.587891
6.327,-302.419434
6.349,-443.450531
6.368,-715.331726
6.384,-1026.042847
6.406,-1457.218018
6.425,-1723.899048
6.44,-1835.627563
6.459,-1838.499634
6.478,-1670.517944
6.497,-1375.383667
6.518,-943.922241
6.54,-595.473694
6.562,-367.718048
6.581,-312.452515
6.603,-293.278473
6.622,-339.565247
6.641,-559.673218
6.659,-975.853577
6.678,-1490.847778
6.7,-2000.560547
6.719,-2282.60376
6.741,-2247.619141
6.76,-1930.348022
6.785,-1278.468628
6.803,-800.88739
6.819,-509.393219
6.838,-353.806244
6.857,-271.795349
6.876,-209.621613
6.894,-119.357132
6.913,-52.498436
6.932,-23.415333
6.951,-17.022394
6.97,-24.894297
6.991,-22.923935
7.01,-11.922355
7.029,-0.10973
7.048,-4.145869
7.07,1.543958
7.088,-2.499925
7.108,3.519458
7.123,0.484285
7.142,-16.139786
7.164,-37.222172
7.186,-52.465038
7.205,-44.507263
7.22,-38.987389
7.239,-20.667322
7.261,-3.334824
7.28,2.267988
7.302,-1.326296
7.32,0.182206
7.339,-0.381668
7.358,-63.938934
7.38,-124.772041
7.405,-215.380035
7.43,-345.299835
7.449,-513.47229
7.471,-835.557129
7.49,-1160.766968
7.508,-1419.623779
7.533,-1552.463257
7.552,-1572.290894
7.571,-1479.144897
7.59,-1253.197388
7.609,-974.961426
7.628,-683.33844
7.646,-406.333313
7.665,-276.270386
7.681,-346.521149
7.7,-556.056885
7.718,-859.139465
7.737,-1237.887695
7.756,-1645.852661
7.775,-1901.923218
7.793,-1888.479004
7.812,-1605.052368
7.831,-1158.510376
7.85,-654.279175
7.869,-479.265289
7.887,-639.098328
7.906,-1008.24762
7.925,-1422.281128
7.953,-1748.936401
7.981,-1627.93335
8.003,-1324.407104
8.022,-997.44165
8.041,-608.703247
8.057,-317.371277
8.075,-95.450401
8.091,3.922229
8.11,1.045288
8.125,1.366547
8.145,-0.825357
8.16,-0.143126
8.179,2.013859
8.198,0.182206
8.216,-1.698423
8.235,-1.870173
8.254,-1.90834
8.273,2.349502
8.289,-0.920774
8.311,-2.4713
8.329,1.304213
8.348,-0.429377
8.37,-1.407401
8.389,-0.033396
8.411,-2.318633
8.43,-1.889257
8.448,0.632927
8.467,0.201386
8.486,-0.085875
8.501,-0.873066
8.52,2.277578
8.539,4.013332
8.558,-0.84444
8.577,1.462445
8.596,-2.256612
8.62,-0.205147
8.636,-0.868295
8.661,-1.412172
8.68,-0.248084
8.696,0.791159
8.715,-3.821451
8.733,-3.115365
8.749,-0.400751
8.774,1.246674
8.793,2.397451
8.812,1.965909
8.83,-1.34538
8.846,-2.428363
8.865,-3.134449
8.884,-0.939857
8.902,-0.434147
8.921,-5.214539
8.943,-0.582044
8.962,-1.564839
8.981,-0.486627
8.996,-1.0639
9.018,-1.097296
9.034,0.982955
9.053,0.23495
9.072,0.369207
9.09,-0.415064
9.138,0.49867
9.156,-0.925545
9.175,2.483759
9.194,1.687805
9.213,0.50826
9.231,10.356987
9.253,8.664387
9.272,107.324272
9.291,182.585037
9.31,235.357727
9.328,368.099762
9.344,541.430664
9.363,793.191711
9.385,1009.90686
9.404,1112.920532
9.419,1126.715454
9.438,1059.817017
9.454,962.888062
9.473,794.913086
9.491,596.049377
9.507,419.79361
9.529,319.134247
9.548,380.441833
9.567,542.969788
9.585,802.028748
9.604,1229.791504
9.626,1643.807251
9.645,1791.164062
9.664,1818.053955
9.682,1747.597656
9.701,1611.201904
9.72,1386.790894
9.739,1102.012085
9.758,757.671082
9.773,506.03949
9.792,433.924164
9.811,601.9375
9.833,1024.881348
9.852,1525.986938
9.87,1953.279663
9.886,2118.82373
9.905,2062.991943
9.924,1798.581787
9.943,1395.081299
9.961,920.328552
9.98,577.646545
9.999,555.973572
10.018,709.822815
10.033,888.418457
10.055,1228.707764
10.074,1548.949707
10.093,1785.59729
10.108,1883.168701
10.13,1838.216431
10.149,1599.209839
10.168,1224.632202
10.187,796.81189
10.203,406.674744
10.221,48.639477
10.24,0.220565
10.259,0.517849
10.278,0.287694
10.296,-0.381668
10.315,1.074058
10.334,1.659036
10.353,2.311142
10.372,-2.967469
10.391,-95.159378
10.409,-86.934433
10.431,-87.168205
10.456,-99.486542
10.488,-98.312912
10.513,-61.644154
10.535,-25.256882
10.557,-15.061574
10.579,-131.494171
10.6,-367.169403
10.619,-628.697876
10.641,-913.83728
10.663,-1320.910034
10.688,-1612.399414
10.71,-1673.795532
10.729,-1641.029297
10.754,-1389.176147
10.773,-1105.081543
10.798,-640.858765
10.82,-352.770966
10.842,-245.307571
10.86,-239.553925
10.889,-286.026794
10.911,-377.794098
10.929,-446.389374
10.957,-501.249359
10.979,-610.945557
11.004,-862.350281
11.026,-1091.155396
11.052,-1506.209839
11.077,-1950.862671
11.099,-2257.451904
11.123,-2485.097656
11.149,-2672.782959
11.174,-2729.527344
11.196,-2690.296631
11.221,-2663.560791
11.243,-2650.369385
11.267,-2606.105469
11.289,-2508.260254
11.315,-2385.391602
11.34,-2059.78125
11.358,-1517.488159
11.384,-700.899902
11.406,-140.005371
11.427,0.944596
11.455,-1.125921
11.481,-3.70218
11.503,-0.405522
11.521,1.376137
11.543,3.318072
11.565,-1.960819
11.59,2.287168
11.612,0.182206
11.637,0.374002
11.662,-2.080091
11.687,-0.33396
11.709,-0.395981
11.738,-0.286251
11.76,1.759729
11.785,1.798088
11.806,1.217905
11.828,-2.895906
11.957,1.591907
11.982,1.112417
12.007,5.725112
12.029,2.335117
12.057,-1.660256
12.082,0.49867
12.107,3.816741
12.132,0.143847
12.158,-1.326296
12.182,0.517849
12.207,-0.362585
12.233,-1.631631
12.258,-0.200376
12.28,2.152911
12.308,0.412362
12.333,-1.249963
12.358,-1.574381
12.38,1.769319
12.405,0.848697
12.424,-2.399738
12.446,-0.572502
12.471,1.553548
12.496,0.306874
12.518,1.040494
12.54,-0.362585
12.565,0.604158
12.59,-1.917882
12.615,0.891852
12.64,-1.746131
12.659,1.122007
12.677,0.326053
12.693,1.558343
12.712,0.388387
12.734,-1.612547
12.753,-0.925545
12.775,-4.164952
12.797,0.0
12.825,-0.958941
12.843,0.982955
12.865,-0.753794
12.887,-2.552405
12.909,1.534368
12.931,0.215771
12.953,1.611087
12.972,-3.358679
12.994,0.206181
13.022,-1.269046
13.044,0.973365
13.069,3.898255
13.094,-1.0639
13.122,0.546619
13.144,3.111891
13.172,-2.633509
13.254,-1.917882
13.276,-0.415064
13.298,1.822062
13.314,0.73362
13.335,-1.641172
13.354,-1.383547
13.373,-0.066792
13.395,-2.056237
13.417,0.316463
13.439,1.19393
13.46,-0.085875
13.482,-3.611534
13.508,-1.874944
13.529,1.44806
13.551,-6.311835
13.577,-0.84444
13.605,1.304213
13.624,-2.480842
13.646,3.188609
13.67,-2.199362
13.692,-1.211796
13.721,2.057013
13.746,3.946204
13.771,-1.378776
13.79,-1.645943
13.812,1.189136
13.836,-0.162209
13.862,2.061808
13.887,0.527439
13.906,1.371342
13.924,-0.763336
13.953,2.68035
13.977,0.369207
13.999,0.163027
14.021,-1.0639
14.043,-0.50571
14.068,-2.585801
14.087,-1.622089
14.109,0.455516
14.131,-0.152667
14.156,-0.400751
14.181,0.872672
14.203,-1.0639
14.228,1.356957
14.253,-0.825357
14.278,-2.170737
14.3,-0.572502
14.325,1.726164
14.353,0.647312
14.379,0.24454
14.404,-0.28148
14.426,-1.469422
14.444,-0.620211
14.47,-0.171751
14.491,-1.445568
14.516,1.107622
14.538,-2.681218
14.588,-1.431255
14.607,-2.795718
14.629,0.110283
14.654,1.337777
14.679,0.23495
14.704,-0.968483
14.726,0.01918
14.755,-1.436026
14.776,-2.3568
14.802,1.659036
14.824,-0.72994
14.848,-1.951278
14.873,-2.256612
14.895,0.517849
14.921,2.061808
14.943,-1.68411
14.961,0.944596
14.983,-3.263262
15.005,-0.978024
15.027,0.565798
15.049,-4.079077
15.074,1.951525
15.096,-0.658377
15.121,-5.391061
15.146,1.294623
15.171,-31.716612
15.199,-18.277126
15.221,-5.66777
15.24,14.173728
15.259,14.413473
15.278,5.053826
15.293,-7.447297
15.315,17.779493
15.334,7.537585
15.359,37.246792
15.381,1.395316
15.403,1.342572
15.422,-0.887378
15.444,-0.22423
15.463,-3.525658
15.485,-80.131203
15.509,-119.109047
15.534,-107.067421
15.556,-114.61013
15.578,-196.606735
15.6,-292.868195
15.622,-363.39566
15.644,-586.47583
15.666,-887.88385
15.688,-1246.093628
15.71,-1613.024414
15.735,-1879.256958
15.76,-2014.033447
15.785,-1960.542725
15.807,-1707.139038
15.829,-1259.914795
15.848,-855.480225
15.873,-434.328644
15.895,-406.414429
15.92,-884.081482
15.942,-1448.592285
15.967,-2067.323975
15.989,-2250.061768
16.007,-2212.171631
16.028999,-1819.373291
16.055,-1245.611694
16.08,-728.04126
16.105,-500.595764
16.127001,-583.60376
16.155001,-1107.571899
16.177,-1511.744019
16.202,-1928.057983
16.226999,-2221.942383
16.249001,-2385.930908
16.274,-2366.704346
16.296,-2043.531616
16.320999,-1447.518921
16.343,-974.684692
16.365,-662.341919
16.389999,-808.434875
16.412001,-1339.568848
16.437,-2092.561768
16.459,-2672.816406
16.483999,-2894.498535
16.506001,-2785.584961
16.524,-2583.424805
16.552999,-2303.18042
16.575001,-1950.113647
16.597,-1460.218872
16.615,-1074.505249
16.639999,-619.671387
16.662001,-308.950714
16.688,-70.5895
16.705999,-2.061007
16.728001,1.117212
16.753,2.18168
16.778,-0.978024
16.802999,-2.313862
16.825001,-0.572502
16.847,-1.350151
16.875,2.052218
16.896999,-0.958941
16.919001,-1.183171
16.944,3.37561
16.969,-5.009393
16.990999,-3.296658
17.013,0.412362
17.035,1.270649
17.056999,-0.753794
17.079,0.935006
17.104,-3.935951
17.129,-1.102066
17.157,-0.152667
17.179001,2.296758
17.254,-0.472314
17.275999,2.224834
17.351,0.776774
17.377001,0.153437
17.398001,0.330848
17.424,-2.065778
17.448999,-1.035275
17.474001,-2.676447
17.499001,-2.361571
17.527,1.217905
17.549,0.896646
17.577,3.011198
17.601999,2.531708
17.621,3.250943
17.646,-3.721263
17.665001,-1.975132
17.690001,3.998948
17.712,0.982955
17.737,1.817268
17.761999,-0.586815
17.787001,1.021314
17.812,-1.998986
17.834,-1.249963
17.856001,-0.205147
17.875,0.541824
17.893,0.177411
17.912001,-1.350151
17.931,-1.665027
17.947001,1.074058
17.968,1.069263
17.988001,-0.78719
18.003,-0.830128
18.021999,0.354823
18.041,-0.076334
18.063,0.465105
18.084999,-2.347258
18.107,-0.691773
18.128,-0.324418
18.153999,-0.906462
18.177999,2.838582
18.204,0.815133
18.225,3.294097
18.254,-0.553419
18.278999,1.975499
18.301001,-1.1784
18.322001,-1.555297
18.348,3.835921
18.370001,-1.168858
18.395,-2.991323
18.417,-3.549513
18.438999,1.136392
18.457001,1.433675
18.479,-1.707964
18.504,0.335643
18.525999,-0.28148
18.548,-1.536214
18.573,-2.213675
18.598,-3.31097
18.617001,-1.364463
18.636,1.611087
18.714001,-0.472314
18.736,-1.641172
18.757999,-2.619197
18.783001,1.491214
18.808001,-2.428363
18.83,-3.415929
18.855,0.115078
18.879999,0.97816
18.905001,1.831652
18.93,-1.164087
18.955999,0.105488
18.976999,0.23495
19.003,-1.216567
19.025,0.00959
19.049,-0.44846
19.070999,-2.52378
19.09,0.647312
19.112,-1.736589
19.131001,0.680876
19.153,-1.130692
19.174999,1.150776
19.197001,-2.237529
19.222,-1.769985
19.243999,-1.975132
19.271999,-4.813788
19.291,0.014385
19.312,4.497617
19.334,3.198199
19.353001,-0.768107
19.378,-0.720398
19.403,0.119873
19.422001,0.762389
19.447001,0.071924
19.472,-1.416942
19.497999,-0.128813
19.52,0.939801
19.541,-0.911232
19.559999,0.637722
19.579,0.407567
19.594999,2.196065
19.620001,-3.31097
19.638,-1.28813
19.657,-1.641172
19.679001,1.404906
19.704,-0.720398
19.726,-4.847184
19.747999,-0.310105
19.773001,-1.903569
19.798,0.599363
19.82,0.067129
19.841999,0.685671
19.864,1.534368
19.889,-1.555297
19.914,0.143847
19.938999,-0.467543
19.964001,2.033038
19.989,1.045288
20.014,1.553548
20.039,1.428881
20.061001,2.431015
20.083,0.997339
20.108,0.690466
20.129999,-0.386439
20.155001,-0.300564
20.174,0.74321
20.193001,0.800749
20.212,-1.68411
20.233999,-1.879715
20.259001,2.291963
20.284,-0.753794
20.309,-0.1145
20.334,-1.278588
20.358999,1.304213
20.381001,2.306347
20.406,1.70219
20.431,1.078853
20.455999,-0.978024
20.481001,-0.749023
20.506001,-0.195605
20.528,1.620677
20.552999,1.141186
20.575001,2.517323
20.591,0.863082
20.610001,-1.412172
20.632,-1.579151
20.65,-1.130692
20.666,2.004269
20.684999,3.433149
20.702999,1.831652
20.722,-0.429377
20.747,1.198725
20.768999,1.280239
20.816,-0.963712
20.837999,1.587112
20.860001,2.560477
20.888,-1.62686
20.913,0.541824
20.934999,-3.673555
20.954,-0.89692
20.976,3.936614
21.000999,-1.903569
21.023001,-2.013299
21.042,0.460311
21.063999,-2.428363
21.086,-0.582044
21.108,-0.61544
21.129999,-0.276709
21.152,1.932345
21.174,-0.219459
21.198,-2.519009
21.219999,1.126802
21.242001,0.249335
21.274,0.268514
21.299,-1.431255
21.327,3.083122
21.355,1.46724
21.408001,0.302079
21.437,-0.89692
21.459,2.009064
21.483,-0.243313
21.504999,0.374002
21.531,-0.782419
21.552,0.407567
21.573999,-0.400751
21.6,0.057539
21.622,-0.663148
21.643,0.268514
21.669001,0.863082
21.687,0.642517
21.709,-1.216567
21.733999,1.002134
21.753,-1.130692
21.775,0.143847
21.797001,-1.779527
21.822001,1.299418
21.844,1.006929
21.868999,0.431541
21.891001,-2.867281
21.913,-0.286251
21.938,-1.803381
21.962999,0.00959
21.985001,-1.62686
22.007,2.148116
22.028999,1.673421
22.056999,-1.469422
22.076,0.546619
22.098,-0.271938
22.120001,0.748005
22.138,2.176885
22.16,0.810338
22.181999,4.392129
22.209999,-1.836777
22.239,-1.249963
22.267,-1.369234
22.289,-0.400751
22.308001,0.690466
22.326,-0.295793
22.344999,-1.354921
22.364,0.834313
22.389,2.838582
22.408001,1.237085
22.43,-1.464651
22.452,-0.324418
22.471001,0.795954
22.489,-1.192713
22.507999,-1.822465
22.527,0.584978
22.549,0.426746
22.568001,-0.014313
22.586,1.855627
22.608,-1.96559
22.624001,-0.138355
22.643,-1.998986
22.662001,3.246148
22.684,-0.553419
22.702,-2.776635
22.721001,-0.648836
22.737,1.270649
22.777,-2.156424
22.796,3.155045
22.815001,1.428881
22.837,1.424086
22.853001,1.850832
22.875,0.24454
22.893,-3.6497
22.912001,-0.663148
22.931,0.110283
22.950001,1.654241
22.978001,2.224834
23.0,-0.605898
23.021999,-0.095417
23.041,0.047949
23.062,0.925416
23.084,-2.146883
23.103001,2.090577
23.122,-0.89692
23.141001,-1.936965
23.16,0.210976
23.179001,1.304213
23.201,-0.558189
23.219,-0.84444
23.238001,-1.149775
23.257,2.718709
23.275999,-2.180279
23.294001,3.255738
23.316,-2.213675
23.334999,-2.833885
23.354,-0.400751
23.372999,20.809872
23.391001,-19.589111
23.41,-25.02788
23.434999,-15.877389
23.454,-3.072428
23.476,-3.525658
23.495001,0.982955
23.514,-1.655485
23.532,1.778908
23.551001,0.014385
23.57,3.62974
23.589001,-1.989444
23.608,-3.306199
23.754999,-1.90834
23.780001,-58.977249
23.799,-78.07019
23.827,-82.445061
23.846001,-77.407043
23.868,-79.50145
23.886,-69.13916
23.908001,-56.310345
23.93,-27.766348
23.952,-7.943466
23.974001,-1.154546
23.99,-1.1784
24.007999,-1.540985
24.030001,0.230155
24.052,2.488554
24.070999,-0.453231
24.093,-27.432388
24.112,-47.279125
24.134001,-66.319588
24.153,-74.067451
24.167999,-76.247726
24.190001,-80.250473
24.215,-82.015686
24.247,-80.422218
24.271999,-84.773239
24.294001,-81.839165
24.319,-81.972748
24.337,-83.881088
24.356001,-84.224586
24.378,-78.66655
24.396999,-81.538597
24.427999,-86.538452
24.452999,-91.891342
24.472,-90.765427
24.490999,-90.927635
24.513,-86.295135
24.535,-84.964073
24.554001,-88.112831
24.576,-86.667267
24.604,-88.160538
24.622999,-84.401108
24.650999,-85.531799
24.676001,-92.802574
24.698,-90.297882
24.723,-86.271286
24.745001,-86.98214
24.764,-85.674927
24.785999,-91.509674
24.808001,-89.88282
24.829,-91.156631
24.851,-89.081314
24.870001,-90.989655
